StudyID,SampleID,ESID,Authors,PubYear,r,n,Corrz,Varz,SEz,Gender,Raceethnic,Continent,Grade,Lowability,Teachers,Childanx,Adoladultanx,MvSanx,Anxcomp,Achmeas,Mathcont,Pub
876,136,310,Parks,2009,-0.270,15,-0.275785504,0.083333333,0.288675135,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
876,138,311,Parks,2009,-0.290,15,-0.299658432,0.083333333,0.288675135,-999,-999,1,3,2,1,-999,1,1,6.00,2,-999,1
876,137,312,Parks,2009,-0.350,15,-0.362029024,0.083333333,0.288675135,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
876,136,313,Parks,2009,-0.360,15,-0.380336888,0.083333333,0.288675135,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
876,138,314,Parks,2009,-0.380,15,-0.403570654,0.083333333,0.288675135,-999,-999,1,3,2,1,-999,1,1,6.00,2,-999,1
876,136,315,Parks,2009,-0.570,15,-0.653468041,0.083333333,0.288675135,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
876,137,316,Parks,2009,-0.220,14,-0.218407819,0.090909091,0.301511345,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
878,139,317,"Morony, Kleiman, Lee, & Stankov",2013,-0.270,7167,-0.276863823,0.000139587,0.011814687,-999,-999,-999,4,2,2,-999,5,1,-999.00,3,-999,0
882,140,318,Lester,2007,-0.160,71,-0.161386696,0.014705882,0.121267813,-999,-999,1,5,2,2,-999,1,1,6.00,4,8,0
883,141,319,Gorvine & Smith,2015,-0.190,173,-0.194412895,0.005882353,0.076696499,-999,-999,1,5,2,2,-999,10,1,-999.00,4,8,0
886,142,320,Lester,2016,0.020,93,0.020002667,0.011111111,0.105409255,-999,-999,1,5,2,2,-999,-999,2,6.00,5,8,0
886,142,321,Lester,2016,0.010,93,0.010000333,0.011111111,0.105409255,-999,-999,1,5,2,2,-999,-999,2,-999.00,5,8,0
886,142,322,Lester,2016,0.010,93,0.010000333,0.011111111,0.105409255,-999,-999,1,5,2,2,-999,-999,2,-999.00,5,8,0
889,143,323,"Thompson, Wylie, Mulhern, & Hanna",2015,-0.530,118,-0.590145160,0.008695652,0.093250481,-999,-999,3,5,2,2,-999,3,1,-999.00,3,-999,0
889,144,324,"Thompson, Wylie, Mulhern, & Hanna",2015,-0.530,131,-0.590145160,0.007812500,0.088388348,-999,-999,3,5,2,2,-999,3,1,-999.00,3,-999,0
889,145,325,"Thompson, Wylie, Mulhern, & Hanna",2015,-0.460,76,-0.497311288,0.013698630,0.117041147,-999,-999,3,5,2,2,-999,3,1,-999.00,3,-999,0
890,146,326,"Pletzer, Wood, Moeller, Nuerk & Kerschbaum",2010,-0.150,67,-0.151140436,0.015625000,0.125000000,-999,-999,3,5,2,2,-999,1,1,-999.00,5,8,0
890,146,327,"Pletzer, Wood, Moeller, Nuerk & Kerschbaum",2010,0.300,67,0.309519604,0.015625000,0.125000000,-999,-999,3,5,2,2,-999,1,1,-999.00,5,8,0
890,147,328,"Pletzer, Wood, Moeller, Nuerk & Kerschbaum",2010,-0.230,45,-0.234189467,0.023809524,0.154303350,-999,-999,3,5,2,2,-999,1,1,-999.00,5,8,0
890,147,329,"Pletzer, Wood, Moeller, Nuerk & Kerschbaum",2010,-0.130,45,-0.130739850,0.023809524,0.154303350,-999,-999,3,5,2,2,-999,1,1,-999.00,5,8,0
892,148,330,"Hadfield, Littleton, Steiner, & Woods",1998,-0.440,48,-0.472230804,0.022222222,0.149071198,-999,-999,-999,5,2,1,-999,1,1,6.00,3,-999,0
901,149,331,Kyttala & Bjorn,2010,-0.190,116,-0.192337169,0.008849558,0.094072087,-999,-999,3,3,2,2,-999,8,1,1.00,2,-999,0
901,149,332,Kyttala & Bjorn,2010,-0.230,116,-0.234189467,0.008849558,0.094072087,-999,-999,3,3,2,2,-999,8,1,1.00,2,-999,0
931,150,333,"Jamieson, Peters, Greenwood & Altose",2016,-0.380,93,-0.400059650,0.011111111,0.105409255,-999,2,1,5,2,2,-999,1,1,5.00,5,-999,0
931,150,334,"Jamieson, Peters, Greenwood & Altose",2016,-0.340,93,-0.358622366,0.011111111,0.105409255,-999,2,1,5,2,2,-999,1,1,4.00,5,-999,0
