"study_ID" "type" "rgodHRother" "ma" "author_andor_study" "year" "Ntot" "ES" "SE" "unique" "citations" "countrycode" "jrnl_impact" "similarity" "N1" "N2" "remarks_N" "remarks_type" "remarks" "meta_nr" "typeWords" "Fisherz" "FisherzSE" "FisherzUncoined"
109 1 1 "bake" "Turkstra" 2008 19 0.192337169 0.25 1 14 "US" 1.861 0 9.5 9.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.192337169 0.25 0.192337169
110 1 1 "bake" "Turkstra" 2008 19 0.887183863 0.25 1 14 "US" 1.861 0 9.5 9.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.887183863 0.25 0.887183863
111 1 1 "bake" "Wang" 2008 52 0.199609496 0.142857143 1 44 "CN" 2.682 1 26 26 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.199609496 0.142857142857143 0.199609496
112 1 1 "bake" "Wigan" 2007 60 0.383796543 0.132453236 1 NA "GB" NA 0 30 30 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.383796543 0.132453235706504 0.383796543
113 3 4 "bama" "Brossard" 1971 29 1.16 0.401411303 1 NA "CA" NA 1 14.5 14.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.551599561577318 0.196116135138184 0.551599561577318
114 3 4 "bama" "Casler" 1965 16 0.36 0.504033729 1 61 "US" NA 1 8 8 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.179041904333766 0.277350098112615 0.179041904333766
115 3 4 "bama" "Hakimi-Manesh" 1984 28 0.85 0.394663057 1 16 "IR" 5.669 1 14 14 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.413145994832217 0.2 0.413145994832217
116 3 4 "bama" "Hunt" 1976 25 1.16 0.432333205 1 47 "IR" NA 1 12.5 12.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.551599561577318 0.21320071635561 0.551599561577318
117 3 4 "bama" "St. Petersburg-USA Orphanage Research Team" 2008 57 0.43 0.26795031 1 NA "RU" NA NA 28.5 28.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.213377140086069 0.136082763487954 0.213377140086069
118 3 4 "bama" "St. Petersburg-USA Orphanage Research Team" 2008 280 1.05 0.127492997 1 NA "RU" NA NA 140 140 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.503459983803007 0.060084176812611 0.503459983803007
119 3 4 "bama" "Rheingold" 1956 12 1.17 0.624796634 1 NA "US" NA 1 6 6 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.555920021446488 0.333333333333333 0.555920021446488
120 3 4 "bama" "Saltz" 1973 26 1.23 0.427715308 1 7 "US" 4.235 NA 13 13 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.581644663136933 0.208514414057075 0.581644663136933
121 3 4 "bama" "Sayegh" 1965 13 0.74 0.573370601 1 25 "LB" 4.235 1 6.5 6.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.362039121240971 0.316227766016838 0.362039121240971
122 3 4 "bama" "Skeels" 1937 20 0.53 0.454997253 1 4 "US" 0.847 1 10 10 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.261992499538448 0.242535625036333 0.261992499538448
123 3 4 "bama" "Sparling" 2005 104 0.75 0.227104618 1 20 "RO" 1.133 1 28 76 NA NA NA "Meta-Analysis 8" "Experiments/Interventions" 0.326820865416824 0.0995037190209989 0.326820865416824
